iteration,time_primal_forward,time_primal_backward,time_dual_forward,time_dual_backward
1,2.103000052,0.714845111,2.06998976,0.21494414
2,0.109728904,0.061470516,0.825866432,0.21151642
3,0.181924538,0.05415107,0.813003686,0.192381565
4,0.12519017,0.057189605,0.920448688,0.193298502
5,0.149099064,0.060006999,0.822262667,0.152629146
6,0.108687689,0.059870327,0.641126842,0.165453971
7,0.127266376,0.055152,0.863984692,0.147147458
8,0.124298915,0.056510907,0.832258177,0.215779088
9,0.137781512,0.05600267,1.318352926,0.182051773
10,0.118560053,0.056790225,1.258321589,0.210424435
11,0.139098307,0.058424759,0.796256166,0.185399824
12,0.128376497,0.057505181,0.909873323,0.208559694
13,0.168366356,0.057740828,1.424625398,0.298990382
14,0.123958939,0.053938783,0.876742153,0.222765917
15,0.162605979,0.081867724,1.297845406,0.165654971
16,0.126796215,0.056421177,1.392267133,0.190418017
17,0.137983406,0.058594704,1.17444341,0.178553567
18,0.128316559,0.063918407,0.685321854,0.147419108
19,0.100891664,0.063527813,0.729356415,0.192623454
20,0.107379784,0.059277567,1.221094355,0.226784864
21,0.126467141,0.05708173,1.18827895,0.162426556
22,0.125505232,0.058702226,1.140860192,0.217183633
23,0.160728725,0.061578127,0.726197493,0.154544326
24,0.103315146,0.060136338,0.96054035,0.240499142
25,0.10223047,0.06211834,0.797476271,0.186627944
26,0.128488444,0.058787166,0.845991265,0.216274078
27,0.128332656,0.059010153,0.850317394,0.160769739
28,0.163671967,0.069151523,0.632313776,0.169064912
29,0.110845181,0.057108532,1.036796988,0.300936181
30,0.1434116,0.059859687,1.019817803,0.227530159
31,0.113871148,0.059960674,0.93871545,0.183249074
32,0.161252571,0.058654054,0.923555781,0.205446773
33,0.143642227,0.06079488,1.217392897,0.266989873
34,0.142578659,0.063127572,0.931658508,0.149076035
35,0.124514792,0.064049046,0.781079089,0.182369758
36,0.158696226,0.066653471,0.955649489,0.209448966
37,0.102057234,0.065423568,0.818220783,0.250468666
38,0.146366994,0.067593268,0.530367877,0.199397219
39,0.101592992,0.055600346,1.014089203,0.196007891
40,0.152894007,0.066787061,1.053078115,0.169096639
41,0.110308562,0.058290239,1.15663507,0.214294265
42,0.123069288,0.064523436,1.087931355,0.169239407
43,0.124503839,0.066256784,0.941120402,0.252945618
44,0.132712763,0.062771082,0.947398608,0.209114723
45,0.151876666,0.064781275,0.823208522,0.155949543
46,0.138681434,0.066422948,1.234484048,0.198805918
47,0.148903919,0.065159642,0.874689163,0.236334554
48,0.129469536,0.06335183,0.891686929,0.198313425
49,0.147868696,0.07157667,0.857886851,0.209189169
50,0.144375363,0.060827148,0.72985553,0.192295169
51,0.140991191,0.063268016,0.704941114,0.201269189
52,0.103636307,0.063332939,0.959640606,0.193992259
53,0.129562436,0.064728689,1.053242145,0.186276749
54,0.139830236,0.066363944,1.174332686,0.232875855
55,0.133892994,0.061260807,0.664710163,0.173960804
56,0.141659202,0.06648762,1.233026236,0.178790795
57,0.11667878,0.06464109,0.829307619,0.186728786
58,0.152077063,0.067638528,0.814378866,0.231714876
59,0.137639727,0.06523617,0.838865099,0.172857958
60,0.12634266,0.062248206,1.310718793,0.24988809
61,0.114266918,0.06726847,1.137327224,0.249393068
62,0.149549026,0.066645788,1.034051144,0.188747858
63,0.149722638,0.061123165,1.287065564,0.194113605
64,0.138734026,0.069207187,1.251596015,0.258615563
65,0.168983775,0.064153531,1.037002704,0.202675474
66,0.130922556,0.062905191,1.225489238,0.235180677
67,0.134522335,0.06941338,1.079263961,0.225547937
68,0.169193476,0.057972962,1.137709995,0.211130069
69,0.133379247,0.064249151,1.471330417,0.245176043
70,0.172085843,0.061087319,1.15793522,0.272968146
71,0.120640248,0.06731383,0.981669683,0.175745761
72,0.119227122,0.068935131,1.073548904,0.219440679
73,0.189778986,0.0619787,1.758213503,0.305640261
74,0.154181845,0.070529938,1.495215106,0.218915826
75,0.165851269,0.069720161,1.237418183,0.18539767
76,0.128643075,0.067526055,0.929892223,0.272330348
77,0.151168283,0.063621928,0.960311805,0.25905306
78,0.177795624,0.06798085,1.873811355,0.293329619
79,0.155322832,0.056769549,1.191673581,0.191455378
80,0.190123154,0.072867565,1.427422184,0.242555285
81,0.130346155,0.069696666,1.200495112,0.195940165
82,0.150458428,0.071293161,0.734529715,0.236600859
83,0.164683611,0.067587263,0.995142666,0.202227973
84,0.152099264,0.059873773,0.84734532,0.177567811
85,0.188905157,0.067902834,1.232007194,0.184974485
86,0.117221699,0.066604301,1.030830246,0.224380011
87,0.153571626,0.062871969,1.216753532,0.219782028
88,0.155186302,0.069243931,0.82353787,0.288919878
89,0.142501623,0.063611832,0.844680238,0.201428126
90,0.153198217,0.068636748,1.411466051,0.246795939
91,0.134208197,0.064654183,1.17357478,0.239621993
92,0.160035377,0.069486819,1.699696322,0.266811411
93,0.167548733,0.067957564,1.441518119,0.171003159
94,0.137594682,0.074094638,1.102588864,0.215169573
95,0.176596114,0.068614165,1.406689751,0.245644002
96,0.162381173,0.071701086,1.724182759,0.241995383
97,0.130420133,0.06993541,1.1154836,0.231123226
98,0.146155012,0.06668515,0.771978482,0.198927073
