iteration,x1,x2,x3,x4,x5
1,1.0e9,1.0e9,1.0e9,1.0e9,9.999999999731747e8
2,1.0e9,8.651762889513018e8,6.817464552834541e8,7.254654324271151e8,7.362171964923156e8
3,7.497320224732672e8,7.708766670610285e8,8.579704386656382e8,6.293065640225761e8,9.999999994089885e8
4,7.350091423140115e8,7.348290642244806e8,7.647992118773828e8,7.541066785510387e8,7.996491517157972e8
5,7.350091423140115e8,7.33764509149245e8,6.916743608934879e8,6.90729796307471e8,6.911774963185295e8
6,7.350091423140115e8,7.337645091436605e8,6.916743608744986e8,6.907297962771859e8,7.529340488157581e8
7,7.350091423140115e8,7.337645091438642e8,6.702056979409676e8,7.258362269853495e8,7.65498325215689e8
8,7.350091423140115e8,7.337645091460714e8,7.134755042855815e8,6.024627564356151e8,6.046498689283221e8
9,7.350091423140115e8,7.337645091472106e8,7.134755042856021e8,6.490219856554446e8,6.879739914711164e8
10,7.350091423140115e8,7.337645091473596e8,7.526382983850968e8,7.71635139023644e8,8.519011802498989e8
11,7.345203101621014e8,7.155215957727277e8,7.210324883580695e8,7.15955828816302e8,6.655008937260042e8
12,7.345203101621014e8,7.155215957737279e8,7.134755042856631e8,6.503236718636446e8,1.5634592927210438e8
13,7.344158688229737e8,7.155215957778063e8,6.53035466869874e8,7.086131790464041e8,6.331090957451077e8
14,7.344158688229737e8,7.15521595772189e8,6.571816689519329e8,7.104806137460489e8,4.1073260217408895e7
15,7.344158688229737e8,7.155215957717896e8,8.580703669189378e8,7.468751321240287e8,9.999999999183445e8
16,6.999346121608157e8,6.917056240961747e8,6.361221442520123e8,5.446616891201396e8,1.770044841323259e8
17,6.999346121608157e8,6.917056240924716e8,6.751265009423217e8,6.734164676031477e8,4.147790970870633e8
18,6.618154269779873e8,6.77190657966567e8,9.999999999996353e8,4.06419311284309e8,3.5288079484473765e8
19,6.618154269779873e8,6.771906579800022e8,6.454763313999953e8,5.356452565323748e8,2.650301434988463e8
20,6.617794896683581e8,6.771867049426596e8,7.125224223975601e8,5.840485032245891e8,1.3692091978625357e8
21,5.949185556714606e8,6.156182283311453e8,6.304992632202321e8,4.342099210736582e8,2.4481605166175807e8
22,5.949185556714606e8,6.156182283332431e8,6.311095748156532e8,4.278187990987083e8,2.5477190616408193e8
23,5.949185556714606e8,6.15618228316132e8,5.98444565050493e8,3.5649117770721436e8,4.041807436665127e8
24,5.949185556714606e8,6.156182283175185e8,6.910821839024299e8,4.881916685222651e8,3.5295313200886655e8
25,5.949185556714606e8,6.156182283175185e8,6.884756103855495e8,4.8819166527319175e8,2.4563105542732298e8
26,5.949185556714606e8,6.156182283175187e8,6.160080987100389e8,4.836100427201512e8,349843.80243007536
27,5.949185556714606e8,6.156182283153139e8,6.336201982811115e8,5.2169095352044713e8,3.220020253977771e8
28,5.949185556714606e8,6.15618228312957e8,6.967100447896171e8,5.3073394977267957e8,4.4245458268271375e8
29,5.949185556714606e8,6.156182283135157e8,6.2124475172721e8,4.6458072357928115e8,2.137741520901822e8
30,5.949185556714606e8,6.156182287580786e8,6.150164649541106e8,4.3295234967524695e8,9.999999621676065e8
31,5.584421441515429e8,6.12960917373569e8,6.160805033779342e8,4.395033573316145e8,3.5289342945032275e8
32,5.584421441515429e8,6.129609173809214e8,6.596026435219452e8,4.346502455542891e8,2.2512051002012694e8
33,5.584421441515429e8,6.129609173783209e8,6.793012994142287e8,4.638801715242273e8,1.9662496282970834e8
34,5.584421441515429e8,6.129609173769033e8,4.963503787586313e8,2.9643802036167026e8,9.842182217849339e8
35,5.584421441515429e8,6.129609173893669e8,4.944804564884998e8,1.6517209709397578e8,235998.4885334949
36,5.584421441515429e8,6.129609173892375e8,6.834816380410165e8,1.1134970744406998e8,2.543853914503157e7
