iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1,75149.4364778295,48943.13412778068,94681.21682090998,13261.337346260718,111908.79533907169,12273.874054967477,26971.006548455993,74028.76607549615,107027.58988335014,21611.919955762496,48711.68066722577
2,31043.3219089066,20895.148649866074,24989.57081924374,9723.318624831782,2611.792013158764,5870.122528533808,5103.852818214906,2684.2512699074387,6034.207749986735,58328.811129936985,110282.62940984021
3,31199.02836371673,20687.472036234878,22502.413645207005,22297.576752252866,24687.83710333802,26281.71603939172,78418.6184674638,5787.439701763429,98446.77637875092,126579.86933014607,27526.903871085575
4,28041.518673001534,20788.496046611937,32399.212155544737,67962.38875209176,4176.9626745776895,7137.795061362711,10424.978039066375,2594.5072595774327,1550.182008668666,35374.903720157505,312400.4398415664
5,26941.394076770364,22591.89871969577,147643.50383723553,94406.18493229139,146059.29713842785,154003.77648667217,120138.71933159452,39618.139494708405,119867.03320419362,103116.86245131277,325905.0640275414
6,76787.40206293424,111574.31932696809,28446.15026777867,9723.318624831762,2611.792013158786,20465.42660208039,20418.467790521114,4359.620784341433,24871.264933900813,51150.86564637654,112098.22993470148
7,84636.67825663394,80269.92583976063,152404.8901051297,41370.163739498166,124061.68633350007,106161.13493272573,15510.038017768324,118431.63901315106,97722.67064405317,351344.049020367,26169.607753349967
8,121859.39418195683,62749.146733499496,90822.60251411053,6400.1891137380835,5332.970202682604,219098.32580705898,75425.42375008468,162899.299505421,328255.68781768624,117259.34787680798,19650.501059151775
9,103062.96111110707,98370.23593385643,31570.891477269586,140679.15439797615,180652.924097357,149476.99973722603,168100.66721937736,54285.66403488416,321702.9431889989,19653.895218231613,34785.30364911323
10,154981.35962789203,21087.40107048365,153447.7902681139,88676.62450578893,5520.647601081686,17471.067255082708,49284.25108837797,48026.822611259086,162435.25009146336,73883.60859778184,81653.83944104824
11,31199.02836371673,143349.74766274198,166608.04519362067,9205.330366663105,113038.43448984117,98627.57792956311,39330.05308293521,52790.23566177672,14044.661035501951,95864.09631450665,26939.84996046282
12,214607.1535577973,106769.1456666139,166149.79706075584,99618.69707303616,118593.90263546772,95856.58674713719,5379.703083631845,322838.1096076508,100490.65208484819,99314.99022949314,17932.235231975323
13,110527.80550479454,23447.179540101457,46019.34151674945,94941.93343755175,57318.7969724707,176318.49081863152,85355.05485995553,96182.80839637312,99077.63764099345,11528.795411490308,77910.1328933194
14,158334.6554942701,24537.74607389415,123577.46287952513,318577.14057342504,28023.92382433687,42147.70296379619,92384.31704204358,34941.999203559135,36956.1681524208,134920.31549650227,81594.32532640814
15,37946.599640727334,28740.121000416795,106032.00315716463,27898.92908133263,8091.716975519793,80546.86877063845,13994.870797182588,255355.39989751813,38333.64075635595,77866.44766630893,89077.80306641881
16,155146.83821269538,21666.206683184515,116989.65408493041,10732.160106554313,101886.25606727037,219120.2257480963,81629.97517918322,62798.4061579442,118230.67475828764,3122.5066038551795,9267.73479273977
17,107637.83033419294,141297.19688458083,326078.34008666675,95130.31079133519,14456.541107115689,15160.315830167012,9601.450051776495,9976.785390595509,156491.8009672873,23908.472644973248,138177.90510549388
18,203419.73025139575,93664.83780237369,18977.067799196673,217528.4297900423,106850.81577276002,274451.208994624,155292.12088684822,169559.65948519376,318488.5728970918,262239.02062609175,21008.853699802385
19,75381.38554778202,12679.510835271192,54662.30403535319,94237.4625178463,326550.6923629179,340838.277426296,111781.85573841882,6939.439570042027,217272.4143150451,167140.7125091877,240706.99196379606
20,50765.51079463441,88758.05143868868,307584.5966624238,21172.593296120882,68121.17513991347,96530.78374948184,219935.0851952422,133694.68931840826,250799.88070523998,59407.41452439438,107755.75985246433
21,50287.47185556505,326208.9004406692,159233.81491291604,13797.559058411995,6202.882198405987,135910.03774434593,66572.30551595043,60586.76960669566,95193.7206859273,85426.75871237152,131676.6704145942
22,27939.33392979964,24107.720123270476,25246.823172692315,11702.224443139534,9501.218142914222,103458.63011366114,113239.18204925983,109987.24890161687,145648.6523881894,35120.851855575966,16250.814101842332
23,33535.24948583082,291045.6765811516,103392.43487465393,97809.29374247641,5918.053795744846,92938.9622199795,91201.50477249981,156783.90937581717,100344.75836855803,50723.35963018205,25273.33443043324
24,320664.3651261409,153077.17576759175,24766.014850333875,30114.94588892695,24992.860525355343,4903.5787283271875,34928.0744108814,26398.762957914765,17414.25098839383,20293.822659956175,1140.0240992175668
25,292507.7883623242,37655.69446458995,51226.047742186216,82572.38131884193,130074.22327411306,139839.6887327288,72844.73100134998,32940.046704175336,22588.506076194197,13079.783254246679,20912.701799258957
26,339120.8754438358,134904.04050029107,123155.27011990736,72990.03938757237,96187.1465859775,156171.87274534907,197164.13026812128,168293.37214803998,106642.9152104645,134451.47985428708,87309.57664729239
27,337231.9359046504,109307.28336465285,118011.58595997043,23024.785177321628,95467.96555801318,121258.91619186426,56444.103413356344,54331.20067971564,19903.130518816113,79238.9081111906,81930.19141651024
28,169257.93942643615,337159.37374950334,143624.43806117834,85131.7310297728,92689.66073831504,176928.12519749938,30808.485710905898,54966.17112336594,19918.009765542003,308128.05233845266,83367.36832955842
29,336674.5020499958,170510.82147504785,25293.713569392366,9871.684560815533,143030.46353936437,70089.6260755655,96635.2955634015,101307.2137757143,124294.66313808551,131393.13392499732,91994.93020453978
30,123720.332599149,136287.5003514996,31284.03416600868,16409.791430059726,194765.26302639945,145850.92897130008,24211.949466508784,68963.69995272449,24125.557461172917,18642.1304217818,82100.45159044763
31,164355.40890131675,296674.3571778106,104202.5130991552,24052.35549697884,151262.58899406486,81555.35827697274,140194.30034125614,11743.875895784304,8899.95319053619,1960.9912540746145,8998.790526527313
32,27351.358790926653,297400.4675381447,182242.4298079711,101264.37466181746,59172.08121594587,104999.5547883499,114961.81116617836,27669.980187892168,106574.16143305894,19300.81759710122,7712.549080149285
33,127515.67382773806,335948.66453092324,133518.3884367427,260756.95012660202,72154.2163118044,70850.04925710121,20262.309758699706,21447.2551183275,94875.21707183085,94238.03353208874,8255.517454265211
34,123152.17182111158,338860.9637857857,21808.841211109244,8739.004827356317,48839.661119114724,7098.608088726516,19248.4761787373,294202.1212140237,21069.852038920544,93754.47542664882,8459.360761688622
35,30545.21885141575,208181.4782314279,84171.77753449956,9041.273262494858,6848.327436639387,14224.45900626791,17624.53751079983,41532.037454692414,20529.092140285815,50956.27895342598,5918.463053026294
36,106990.54577568371,138521.90303440663,116490.95179665487,30385.488811499272,93844.92520374969,5653.894832968359,22248.70741554031,20435.5421968896,7203.381160242828,18256.19493324398,70209.23290296253
